Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
The Jungle Book,https://www.imdb.com/title/tt0061852/,7.6,161785,78.0,"['Animation', 'Adventure', 'Family']",G,65.0,IMDB
How I Won the War,https://www.imdb.com/title/tt0061789/,5.7,2158,109.0,"['Comedy', 'War']",Approved,,IMDB
Clambake,https://www.imdb.com/title/tt0061489/,5.7,2308,99.0,"['Comedy', 'Musical']",TV-G,,IMDB
Far from the Madding Crowd,https://www.imdb.com/title/tt0061648/,7.2,5078,168.0,"['Drama', 'History', 'Romance']",GP,55.0,IMDB
Reflections in a Golden Eye,https://www.imdb.com/title/tt0062185/,6.8,6250,108.0,"['Drama', 'Romance', 'Thriller']",Not Rated,67.0,IMDB
Waterhole #3,https://www.imdb.com/title/tt0062477/,6.3,1241,95.0,"['Comedy', 'Western']",Approved,,IMDB
Hour of the Gun,https://www.imdb.com/title/tt0061787/,6.7,3375,100.0,['Western'],Approved,,IMDB
Peppermint Frapp̩,https://www.imdb.com/title/tt0062113/,7.1,1180,94.0,"['Drama', 'Thriller']",,,IMDB
I Am Curious (Yellow),https://www.imdb.com/title/tt0061834/,6.1,3453,121.0,['Drama'],,,IMDB
The Torture Chamber of Dr. Sadism,https://www.imdb.com/title/tt0062235/,5.9,1287,80.0,"['Horror', 'Mystery']",M,,IMDB
Quatermass and the Pit,https://www.imdb.com/title/tt0062168/,7.0,9065,97.0,"['Horror', 'Mystery', 'Sci-Fi']",Approved,,IMDB
Svadba v Malinovke,https://www.imdb.com/title/tt0062323/,7.5,1151,95.0,"['Comedy', 'Musical', 'War']",PG,,IMDB
Robbery,https://www.imdb.com/title/tt0062207/,6.8,1088,110.0,"['Crime', 'Drama', 'Mystery']",,,IMDB
Games,https://www.imdb.com/title/tt0061696/,6.5,1093,100.0,['Thriller'],Not Rated,,IMDB
Sami swoi,https://www.imdb.com/title/tt0062228/,7.9,3106,81.0,['Comedy'],,,IMDB
Our Mother's House,https://www.imdb.com/title/tt0062089/,7.3,1613,104.0,"['Drama', 'Thriller']",Approved,,IMDB
Lo straniero,https://www.imdb.com/title/tt0062310/,7.3,2200,104.0,['Drama'],Approved,,IMDB
Oedipus Rex,https://www.imdb.com/title/tt0061613/,7.4,4961,104.0,['Drama'],Not Rated,,IMDB
Death Rides a Horse,https://www.imdb.com/title/tt0064208/,7.1,6920,114.0,['Western'],R,,IMDB
Point Blank,https://www.imdb.com/title/tt0062138/,7.3,17853,92.0,"['Crime', 'Drama', 'Thriller']",Not Rated,86.0,IMDB
The Trip,https://www.imdb.com/title/tt0062395/,6.1,4304,82.0,['Drama'],Not Rated,,IMDB
The Flim-Flam Man,https://www.imdb.com/title/tt0061678/,6.9,1992,104.0,"['Action', 'Comedy', 'Crime']",Not Rated,,IMDB
