Title_(RT),RT_critic,RT_critic_votes,RT_audience,RT_audience_votes
Ordinary Love,93%,98,69%,26
"Endings, Beginnings",41%,64,N/A,N/A
Bad Education,88%,145,86%,"46,221"
The Shadow of Violence,94%,63,N/A,N/A
The Goldfinch,24%,216,72%,"1,404"
Jojo Rabbit,80%,407,94%,"6,537"
The Song of Names,39%,54,90%,71
Greed,N/A,N/A,N/A,N/A
Knives Out,97%,446,92%,"33,829"
Dolemite Is My Name,97%,223,91%,113
The Wolf,N/A,N/A,N/A,N/A
Proxima,N/A,N/A,N/A,N/A
Zana,100%,7,N/A,N/A
Abominable,81%,163,95%,"7,928"
Hustlers,13%,16,36%,"1,480"
Color Out of Space,86%,187,82%,94
A Beautiful Day in the Neighborhood,95%,350,92%,"11,257"
"Live Twice, Love Once (Vivir dos veces)",50%,8,74%,35
Military Wives,76%,112,53%,32
Jallikattu,94%,18,N/A,N/A
Eternal Code,N/A,N/A,N/A,N/A
The Platform (El Hoyo),81%,86,71%,"1,304"
While at War (Mientras Dure La Guerra),62%,21,N/A,N/A
The Other Lamb,73%,90,37%,52
Radioactive,61%,119,48%,66
Just Mercy,84%,283,99%,"11,818"
Yang guang pu zhao (no page found),N/A,N/A,N/A,N/A
Fleabag (no page found),N/A,N/A,N/A,N/A
Chhichhore,58%,12,91%,278
The Sky Is Pink,71%,21,91%,80
Blood Quantum,90%,87,46%,46
Love Action Drama (no page found),N/A,N/A,N/A,N/A
The Personal History of David Copperfield,94%,94,N/A,N/A
En rade (Sea Fever),N/A,N/A,N/A,N/A
K-12,N/A,N/A,90%,71
Magamuni (no page found),N/A,N/A,N/A,N/A
Babyteeth,92%,101,84%,55
Om det oÃÂÃÂ¤ndliga (no page found),N/A,N/A,N/A,N/A
The Painted Bird,81%,81,64%,11
Corpus Christi,N/A,N/A,N/A,N/A
The King,77%,96,54%,307
Martin Eden,81%,27,N/A,N/A
Wasp Network,41%,68,38%,153
The Laundromat,41%,165,41%,862
Ema,91%,78,N/A,N/A
The Two Popes,89%,214,88%,"2,294"
Adults in the Room,50%,10,N/A,N/A
Joker,N/A,N/A,33%,30
First Cow,95%,128,56%,36
The Assistant,N/A,N/A,N/A,N/A
Waves,N/A,N/A,N/A,N/A
Clownado,N/A,N/A,91%,129
438 dagar (no page found),N/A,N/A,N/A,N/A
Eye for an Eye (Quien a hierro mata),88%,8,59%,49
Spider in the Web,75%,8,42%,24
Fanatic,N/A,N/A,39%,263
Judy,82%,321,85%,"5,777"
Saaho,8%,12,55%,577
The Aeronauts,72%,181,95%,39
Uncut Gems,92%,329,52%,"12,111"
Tabernacle 101,N/A,N/A,98%,438
An Officer and a Spy (J'accuse),77%,31,81%,88
Ford v Ferrari,92%,333,98%,"24,145"
The Informer,54%,35,47%,57
Seberg,34%,128,54%,230
Motherless Brooklyn,62%,210,80%,"2,590"
Falling Inn Love,65%,20,33%,225
"Ser du mÃÂÃÂ¥nen, Daniel (no page found)",N/A,N/A,N/A,N/A
Gundala,83%,6,81%,37
Marriage Story,94%,376,85%,184
Ad Astra,84%,371,40%,"10,262"
The Truth,N/A,N/A,13%,388
Yuyeolui eumagaelbeom (no page found),N/A,N/A,N/A,N/A
Black Ops,N/A,N/A,N/A,N/A
It Chapter Two,63%,361,78%,"30,948"
Rabid,73%,26,46%,"7,231"
Dark Light,N/A,N/A,18%,38
NiNoKuni (no page found),N/A,N/A,N/A,N/A
The Huntress: Rune Of The Dead,N/A,N/A,N/A,N/A
