Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source
Made in China,https://www.imdb.com/title/tt8983180/,6.2,3112,128.0,"['Comedy', 'Drama']",, ~data not found~ ,IMDB
Twin Murders: The Silence of the White City,https://www.imdb.com/title/tt8393332/,5.2,3239,110.0,"['Action', 'Adventure', 'Crime']",, ~data not found~ ,IMDB
Housefull 4,https://www.imdb.com/title/tt7721946/,3.4,8634,145.0,"['Action', 'Comedy', 'Fantasy']",Not Rated, ~data not found~ ,IMDB
Funhouse,https://www.imdb.com/title/tt6852534/,6.6,3057,106.0,['Horror'],, ~data not found~ ,IMDB
A Night of Horror: Nightmare Radio,https://www.imdb.com/title/tt10756374/,5.1,1046,100.0,['Horror'],, ~data not found~ ,IMDB
Kaithi,https://www.imdb.com/title/tt9900782/,8.5,7825,145.0,"['Action', 'Thriller']",Not Rated, ~data not found~ ,IMDB
Bigil,https://www.imdb.com/title/tt9260636/,6.8,9379,179.0,"['Action', 'Drama', 'Sport']",Not Rated, ~data not found~ ,IMDB
Rattlesnake,https://www.imdb.com/title/tt9257484/,4.6,6767,85.0,"['Drama', 'Horror', 'Mystery']",, ~data not found~ ,IMDB
Midway,https://www.imdb.com/title/tt6924650/,6.7,52599,138.0,"['Action', 'Adventure', 'Drama']",PG-13,47,IMDB
Countdown,https://www.imdb.com/title/tt10039344/,5.4,19434,90.0,"['Horror', 'Thriller']",PG-13,31,IMDB
Torpedo,https://www.imdb.com/title/tt8829128/,6.0,1054,102.0,"['Action', 'Adventure', 'History']",, ~data not found~ ,IMDB
The Mandela Effect,https://www.imdb.com/title/tt6544220/,5.7,1670,80.0,"['Drama', 'Sci-Fi', 'Thriller']",, ~data not found~ ,IMDB
Terminator: Dark Fate,https://www.imdb.com/title/tt6450804/,6.3,126879,128.0,"['Action', 'Adventure', 'Sci-Fi']",R,54,IMDB
Kim Ji-young: Born 1982,https://www.imdb.com/title/tt11052808/,7.4,1709,118.0,['Drama'],, ~data not found~ ,IMDB
Das perfekte Geheimnis,https://www.imdb.com/title/tt10145122/,6.7,2729,111.0,"['Comedy', 'Drama', 'Romance']",, ~data not found~ ,IMDB
The Last Full Measure,https://www.imdb.com/title/tt0783640/,6.7,4587,116.0,"['Drama', 'War']",R,51,IMDB
Laal Kaptaan,https://www.imdb.com/title/tt9052960/,7.3,3189,155.0,"['Action', 'Adventure', 'Drama']",Not Rated, ~data not found~ ,IMDB
Kill Chain,https://www.imdb.com/title/tt8535180/,5.0,2592,91.0,"['Action', 'Thriller']",R, ~data not found~ ,IMDB
Karakomik Filmler: 2 Arada,https://www.imdb.com/title/tt8456098/,6.4,8764,60.0,"['Comedy', 'Drama']",, ~data not found~ ,IMDB
Eli,https://www.imdb.com/title/tt5294518/,5.7,25760,98.0,"['Drama', 'Horror', 'Mystery']",R, ~data not found~ ,IMDB
Safe,https://www.imdb.com/title/tt10869474/,7.5,1029,144.0,"['Action', 'Crime', 'Thriller']",, ~data not found~ ,IMDB
Impetigore,https://www.imdb.com/title/tt9000302/,7.2,1052,106.0,"['Drama', 'Horror', 'Mystery']",, ~data not found~ ,IMDB
Karakomik Filmler: Ka̤amak,https://www.imdb.com/title/tt8865546/,5.5,6706,60.0,['Comedy'],, ~data not found~ ,IMDB
Saand Ki Aankh,https://www.imdb.com/title/tt8108206/,7.8,3590,146.0,"['Biography', 'Drama']",, ~data not found~ ,IMDB
The Jesus Rolls,https://www.imdb.com/title/tt5974030/,4.3,1948,85.0,"['Comedy', 'Crime', 'Drama']",R,44,IMDB
Maleficent: Mistress of Evil,https://www.imdb.com/title/tt4777008/,6.6,74234,119.0,"['Adventure', 'Family', 'Fantasy']",PG,43,IMDB
Jay and Silent Bob Reboot,https://www.imdb.com/title/tt6521876/,5.7,16557,105.0,['Comedy'],R,46,IMDB
The Man Without Gravity,https://www.imdb.com/title/tt9646240/,6.3,1707,107.0,"['Comedy', 'Drama', 'Fantasy']",TV-14, ~data not found~ ,IMDB
The Village in the Woods,https://www.imdb.com/title/tt5053156/,5.8,1364,82.0,"['Horror', 'Mystery', 'Thriller']",, ~data not found~ ,IMDB
Mermaid Down,https://www.imdb.com/title/tt3584496/,6.3,4716,91.0,"['Fantasy', 'Horror', 'Mystery']",, ~data not found~ ,IMDB
Banlieusards,https://www.imdb.com/title/tt10958282/,6.4,1062,96.0,['Crime'],, ~data not found~ ,IMDB
El Camino: A Breaking Bad Movie,https://www.imdb.com/title/tt9243946/,7.3,168989,122.0,"['Action', 'Crime', 'Drama']",,72,IMDB
Ai-naki mori de sakebe,https://www.imdb.com/title/tt10589914/,6.4,1430,151.0,"['Crime', 'Drama', 'Horror']",, ~data not found~ ,IMDB
Jexi,https://www.imdb.com/title/tt9354944/,6.1,15903,84.0,"['Comedy', 'Romance']",R,39,IMDB
Valhalla,https://www.imdb.com/title/tt8956872/,5.7,2062,105.0,"['Adventure', 'Fantasy', 'Thriller']",, ~data not found~ ,IMDB
Earthquake Bird,https://www.imdb.com/title/tt8178486/,5.9,11449,107.0,"['Crime', 'Drama', 'Mystery']",R,51,IMDB
The Rising Hawk,https://www.imdb.com/title/tt7439064/,6.0,1736,135.0,"['Action', 'Drama', 'History']",, ~data not found~ ,IMDB
The Legacy of the Bones,https://www.imdb.com/title/tt7304802/,6.1,3964,121.0,"['Crime', 'Thriller']",, ~data not found~ ,IMDB
The Addams Family,https://www.imdb.com/title/tt1620981/,5.8,22407,86.0,"['Animation', 'Comedy', 'Family']",PG,46,IMDB
Yedinci Kogustaki Mucize,https://www.imdb.com/title/tt10431500/,8.3,27476,132.0,['Drama'],, ~data not found~ ,IMDB
Zombieland: Double Tap,https://www.imdb.com/title/tt1560220/,6.7,117853,99.0,"['Action', 'Adventure', 'Comedy']",R,55,IMDB
Trick,https://www.imdb.com/title/tt9177040/,4.8,1862,100.0,['Horror'],Not Rated,16,IMDB
Advantages of Travelling by Train,https://www.imdb.com/title/tt8406738/,6.5,1370,106.0,"['Comedy', 'Mystery', 'Thriller']",, ~data not found~ ,IMDB
Wonder Woman: Bloodlines,https://www.imdb.com/title/tt8752498/,5.8,4153,83.0,"['Animation', 'Action', 'Fantasy']",PG-13, ~data not found~ ,IMDB
Semper Fi,https://www.imdb.com/title/tt7042838/,6.1,1804,99.0,"['Action', 'Drama']",R,48,IMDB
Code 8,https://www.imdb.com/title/tt6259380/,6.1,29669,98.0,"['Action', 'Crime', 'Drama']",Not Rated,48,IMDB
Asuran,https://www.imdb.com/title/tt9477520/,8.5,8031,141.0,"['Action', 'Drama']",Not Rated, ~data not found~ ,IMDB
Axone,https://www.imdb.com/title/tt8747548/,7.1,1438,96.0,"['Comedy', 'Drama']",, ~data not found~ ,IMDB
War,https://www.imdb.com/title/tt7430722/,6.5,17583,154.0,"['Action', 'Thriller']",Not Rated, ~data not found~ ,IMDB
Gumnaami,https://www.imdb.com/title/tt10834986/,7.8,1217,142.0,"['Action', 'Drama', 'History']",Not Rated, ~data not found~ ,IMDB
Doom: Annihilation,https://www.imdb.com/title/tt8328716/,3.6,6845,96.0,"['Action', 'Adventure', 'Horror']",R, ~data not found~ ,IMDB
Art of the Dead,https://www.imdb.com/title/tt7612032/,5.9,1351,97.0,['Horror'],, ~data not found~ ,IMDB
Jhalki,https://www.imdb.com/title/tt7743400/,8.7,1110,104.0,['Drama'],, ~data not found~ ,IMDB
Seventeen,https://www.imdb.com/title/tt8988748/,7.2,2714,99.0,['Drama'],, ~data not found~ ,IMDB
10 Minutes Gone,https://www.imdb.com/title/tt8809652/,3.6,2129,89.0,"['Action', 'Crime', 'Mystery']",R,13,IMDB
Little Baby,https://www.imdb.com/title/tt8569206/,9.1,2092,105.0,['Family'],, ~data not found~ ,IMDB
Sye Raa Narasimha Reddy,https://www.imdb.com/title/tt7283064/,7.5,5876,167.0,"['Action', 'Adventure', 'Drama']",Not Rated, ~data not found~ ,IMDB
The Irishman,https://www.imdb.com/title/tt1302006/,7.9,298888,209.0,"['Biography', 'Crime', 'Drama']",R,94,IMDB
A Shaun the Sheep Movie: Farmageddon,https://www.imdb.com/title/tt6193408/,6.9,7471,86.0,"['Animation', 'Adventure', 'Comedy']",G,79,IMDB
Geroy,https://www.imdb.com/title/tt10329842/,6.2,1209,121.0,['Action'],, ~data not found~ ,IMDB
21 Bridges,https://www.imdb.com/title/tt8688634/,6.6,33961,99.0,"['Action', 'Crime', 'Drama']",R,51,IMDB
The Dawn,https://www.imdb.com/title/tt7461372/,5.0,1530,90.0,"['Drama', 'Horror', 'Thriller']",TV-14, ~data not found~ ,IMDB
Gemini Man,https://www.imdb.com/title/tt1025100/,5.7,71462,117.0,"['Action', 'Drama', 'Sci-Fi']",PG-13,38,IMDB
Inside Man: Most Wanted,https://www.imdb.com/title/tt7832848/,5.6,2462,105.0,"['Action', 'Crime', 'Thriller']",R, ~data not found~ ,IMDB
