Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
Captain Kronos: Vampire Hunter,https://www.imdb.com/title/tt0071276/,6.5,4100,91.0,"['Adventure', 'Horror', 'Mystery']",R,,IMDB,Captain Kronos: Vampire Hunter (1974) ,"
Country:
UK
","
Language:
English
","
Release Date: 14 June 1974 (USA)
    
See more »
    
"
Foxy Brown,https://www.imdb.com/title/tt0071517/,6.5,8911,92.0,"['Action', 'Crime', 'Thriller']",R,46.0,IMDB,Foxy Brown (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 5 April 1974 (USA)
    
See more »
    
"
Mahler,https://www.imdb.com/title/tt0071797/,7.0,2265,115.0,"['Biography', 'Drama', 'Music']",PG,,IMDB,Mahler (1974) ,"
Country:
UK
","
Language:
English
","
Release Date: February 1975 (USA)
    
See more »
    
"
Il profumo della signora in nero,https://www.imdb.com/title/tt0070565/,6.7,2096,103.0,"['Horror', 'Mystery', 'Thriller']",Not Rated,,IMDB,Il profumo della signora in nero (1974) ,"
Country:
Italy
","
Language:
Italian
","
Release Date: 4 April 1974 (Italy)
    
See more »
    
"
The Night Porter,https://www.imdb.com/title/tt0071910/,6.7,11136,118.0,['Drama'],R,,IMDB,The Night Porter (1974) ,"
Country:
Italy
","
Language:
English
|
German
|
Latin
","
Release Date: 1 October 1974 (USA)
    
See more »
    
"
Claudine,https://www.imdb.com/title/tt0071334/,7.2,1722,92.0,"['Comedy', 'Drama', 'Romance']",PG,,IMDB,Claudine (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 1974 (Canada)
    
See more »
    
"
The Sugarland Express,https://www.imdb.com/title/tt0072226/,6.8,14970,110.0,"['Crime', 'Drama']",PG,65.0,IMDB,The Sugarland Express (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 May 1974 (Sweden)
    
See more »
    
"
"Watch Out, We're Mad",https://www.imdb.com/title/tt0069697/,7.5,10538,102.0,"['Action', 'Comedy']",G,,IMDB,"Watch Out, We're Mad (1974) ","
Country:
Italy
|
Spain
","
Language:
Italian
","
Release Date: May 1976 (USA)
    
See more »
    
"
Madhouse,https://www.imdb.com/title/tt0071790/,6.3,3306,89.0,"['Crime', 'Horror', 'Mystery']",PG,,IMDB,Madhouse (1974) ,"
Country:
UK
|
USA
","
Language:
English
","
Release Date: 24 May 1974 (USA)
    
See more »
    
"
House of Whipcord,https://www.imdb.com/title/tt0071628/,5.9,1373,102.0,['Horror'],R,,IMDB,House of Whipcord (1974) ,"
Country:
UK
","
Language:
English
","
Release Date: March 1975 (USA)
    
See more »
    
"
The Lords of Flatbush,https://www.imdb.com/title/tt0071772/,5.7,3491,86.0,"['Comedy', 'Drama', 'Romance']",PG,53.0,IMDB,The Lords of Flatbush (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 1 May 1975 (UK)
    
See more »
    
"
The Great Gatsby,https://www.imdb.com/title/tt0071577/,6.4,23040,144.0,"['Drama', 'Romance']",PG,43.0,IMDB,The Great Gatsby (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 March 1974 (USA)
    
See more »
    
"
Conrack,https://www.imdb.com/title/tt0071358/,7.3,1732,106.0,['Drama'],PG,,IMDB,Conrack (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 June 1974 (UK)
    
See more »
    
"
Kalina krasnaya,https://www.imdb.com/title/tt0070262/,7.8,1415,110.0,['Drama'],,,IMDB,Kalina krasnaya (1974) ,"
Country:
Soviet Union
","
Language:
Russian
","
Release Date: 25 March 1974 (France)
    
See more »
    
"
Godzilla vs. Mechagodzilla,https://www.imdb.com/title/tt0071565/,6.4,5454,84.0,"['Action', 'Fantasy', 'Horror']",G,,IMDB,Godzilla vs. Mechagodzilla (1974) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: March 1977 (USA)
    
See more »
    
"
Going Places,https://www.imdb.com/title/tt0072353/,7.3,8007,117.0,"['Action', 'Comedy', 'Crime']",R,,IMDB,Going Places (1974) ,"
Country:
France
","
Language:
French
","
Release Date: 13 May 1974 (USA)
    
See more »
    
"
Le mouton enragÃ©,https://www.imdb.com/title/tt0071864/,7.2,1496,105.0,"['Drama', 'Comedy']",R,,IMDB,Le mouton enragé (1974) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 13 March 1974 (France)
    
See more »
    
"
Mame,https://www.imdb.com/title/tt0071803/,6.1,2654,132.0,['Musical'],PG,,IMDB,Mame (1974) ,"
Country:
USA
","
Language:
English
|
Japanese
|
French
|
Russian
","
Release Date: 27 March 1974 (USA)
    
See more »
    
"
Billy Two Hats,https://www.imdb.com/title/tt0069786/,6.3,1104,99.0,"['Romance', 'Western']",PG,,IMDB,Billy Two Hats (1974) ,"
Country:
USA
|
UK
|
Israel
","
Language:
English
","
Release Date: 7 March 1974 (West Germany)
    
See more »
    
"
Ali: Fear Eats the Soul,https://www.imdb.com/title/tt0071141/,8.1,18246,92.0,"['Drama', 'Romance']",Not Rated,,IMDB,Ali: Fear Eats the Soul (1974) ,"
Country:
West Germany
","
Language:
German
|
Arabic
","
Release Date: 31 October 1974 (USA)
    
See more »
    
"
Alice in the Cities,https://www.imdb.com/title/tt0069687/,8.0,9586,110.0,['Drama'],Not Rated,,IMDB,Alice in the Cities (1974) ,"
Country:
West Germany
","
Language:
German
|
English
|
Dutch
","
Release Date: 17 May 1974 (West Germany)
    
See more »
    
"
Blood for Dracula,https://www.imdb.com/title/tt0071233/,6.2,5049,106.0,['Horror'],R,,IMDB,Blood for Dracula (1974) ,"
Country:
Italy
|
France
","
Language:
English
","
Release Date: 6 November 1974 (USA)
    
See more »
    
"
The House of Seven Corpses,https://www.imdb.com/title/tt0071627/,4.2,1179,88.0,['Horror'],PG,,IMDB,The House of Seven Corpses (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: February 1974 (USA)
    
See more »
    
"
Deranged: Confessions of a Necrophile,https://www.imdb.com/title/tt0071408/,6.4,4388,84.0,"['Drama', 'Horror', 'Thriller']",R,,IMDB,Deranged: Confessions of a Necrophile (1974) ,"
Country:
Canada
","
Language:
English
","
Release Date: February 1974 (USA)
    
See more »
    
"
Busting,https://www.imdb.com/title/tt0071259/,6.3,1095,92.0,"['Comedy', 'Crime', 'Drama']",R,,IMDB,Busting (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 13 April 1974 (Norway)
    
See more »
    
"
From Beyond the Grave,https://www.imdb.com/title/tt0070078/,6.7,3755,97.0,"['Fantasy', 'Horror']",PG,,IMDB,From Beyond the Grave (1974) ,"
Country:
UK
","
Language:
English
","
Release Date: 7 November 1975 (USA)
    
See more »
    
"
School of the Holy Beast,https://www.imdb.com/title/tt0224077/,6.6,1383,91.0,"['Drama', 'Thriller']",,,IMDB,School of the Holy Beast (1974) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 16 February 1974 (Japan)
    
See more »
    
"
Spasmo,https://www.imdb.com/title/tt0072196/,6.2,1496,94.0,"['Mystery', 'Thriller']",R,,IMDB,Spasmo (1974) ,"
Country:
Italy
","
Language:
English
|
Italian
","
Release Date: August 1976 (USA)
    
See more »
    
"
Herbie Rides Again,https://www.imdb.com/title/tt0071607/,5.7,7193,88.0,"['Comedy', 'Family', 'Fantasy']",G,49.0,IMDB,Herbie Rides Again (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 June 1974 (USA)
    
See more »
    
"
Thieves Like Us,https://www.imdb.com/title/tt0072274/,7.0,4102,123.0,"['Crime', 'Drama', 'Romance']",R,82.0,IMDB,Thieves Like Us (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 3 June 1974 (Denmark)
    
See more »
    
"
Blazing Saddles,https://www.imdb.com/title/tt0071230/,7.7,122953,93.0,"['Comedy', 'Western']",R,73.0,IMDB,Blazing Saddles (1974) ,"
Country:
USA
","
Language:
English
|
Yiddish
|
German
","
Release Date: 7 February 1974 (USA)
    
See more »
    
"
Sugar Hill,https://www.imdb.com/title/tt0072225/,5.8,1646,91.0,"['Action', 'Crime', 'Horror']",PG,,IMDB,Sugar Hill (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: February 1974 (USA)
    
See more »
    
"
Zardoz,https://www.imdb.com/title/tt0070948/,5.9,18849,105.0,"['Adventure', 'Fantasy', 'Sci-Fi']",R,46.0,IMDB,Zardoz (1974) ,"
Country:
UK
|
USA
|
Ireland
","
Language:
English
|
Italian
|
Swedish
|
Latin
|
German
|
French
|
Irish
","
Release Date: 6 February 1974 (USA)
    
See more »
    
"
The Street Fighter,https://www.imdb.com/title/tt0073756/,7.1,4461,91.0,"['Action', 'Crime', 'Thriller']",R,,IMDB,The Street Fighter (1974) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 1 November 1974 (USA)
    
See more »
    
"
Neveroyatnye priklyucheniya italyantsev v Rossii,https://www.imdb.com/title/tt0070439/,7.7,5066,104.0,"['Adventure', 'Comedy', 'Crime']",TV-PG,,IMDB,Neveroyatnye priklyucheniya italyantsev v Rossii (1974) ,"
Country:
Soviet Union
|
Italy
","
Language:
Russian
","
Release Date: 31 January 1974 (Italy)
    
See more »
    
"
The Arena,https://www.imdb.com/title/tt0069729/,5.3,1330,83.0,"['Action', 'Adventure']",R,,IMDB,The Arena (1974) ,"
Country:
Italy
|
USA
","
Language:
Italian
|
English
","
Release Date: January 1974 (USA)
    
See more »
    
"
"Lacombe, Lucien",https://www.imdb.com/title/tt0071733/,7.7,6341,138.0,"['Drama', 'Romance', 'War']",R,,IMDB,"Lacombe, Lucien (1974) ","
Country:
France
|
Italy
|
West Germany
","
Language:
French
|
German
|
English
","
Release Date: 29 September 1974 (USA)
    
See more »
    
"
The Bat People,https://www.imdb.com/title/tt0071198/,2.5,2166,93.0,"['Horror', 'Romance']",PG,,IMDB,The Bat People (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 30 January 1974 (USA)
    
See more »
    
"
Black Belt Jones,https://www.imdb.com/title/tt0071221/,6.3,1994,85.0,"['Action', 'Comedy']",R,,IMDB,Black Belt Jones (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 March 1974 (Denmark)
    
See more »
    
"
Bread and Chocolate,https://www.imdb.com/title/tt0070506/,7.6,1560,100.0,"['Comedy', 'Drama']",,,IMDB,Bread and Chocolate (1974) ,"
Country:
Italy
","
Language:
Italian
|
German
|
English
|
French
|
Greek
|
Spanish
","
Release Date: 18 January 1974 (Italy)
    
See more »
    
"
The Clockmaker of St. Paul,https://www.imdb.com/title/tt0071622/,7.1,1846,105.0,"['Crime', 'Drama']",,,IMDB,The Clockmaker of St. Paul (1974) ,"
Country:
France
","
Language:
French
","
Release Date: 28 June 1976 (USA)
    
See more »
    
"
McQ,https://www.imdb.com/title/tt0071824/,6.3,4598,111.0,"['Action', 'Crime', 'Drama']",PG,,IMDB,McQ (1974) ,"
Country:
USA
","
Language:
English
","
Release Date: 6 February 1974 (USA)
    
See more »
    
"
Yalanci Yarim,https://www.imdb.com/title/tt0253960/,7.2,2074,97.0,"['Comedy', 'Romance']",,,IMDB,Yalanci Yarim (1973) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Oh Olsun,https://www.imdb.com/title/tt0253377/,7.2,2536,83.0,"['Comedy', 'Family', 'Romance']",,,IMDB,Oh Olsun (1973) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
Turist Ãmer Uzay Yolu'nda,https://www.imdb.com/title/tt0182503/,7.4,3186,72.0,"['Comedy', 'Sci-Fi']",,,IMDB,Turist Ömer Uzay Yolu'nda (1973) ,"
Country:
Turkey
","
Language:
Turkish
", ~data not found~ 
DvÃ¦rgen,https://www.imdb.com/title/tt0070696/,4.8,1247,95.0,"['Adult', 'Crime', 'Horror']",Not Rated,,IMDB,Dværgen (1973) ,"
Country:
Denmark
","
Language:
English
","
Release Date: December 1973 (USA)
    
See more »
    
"
Lisa and the Devil,https://www.imdb.com/title/tt0068863/,6.4,3903,95.0,"['Horror', 'Mystery']",Not Rated,,IMDB,Lisa and the Devil (1973) ,"
Country:
Italy
|
West Germany
|
Spain
","
Language:
Italian
","
Release Date: 8 December 1976 (Sweden)
    
See more »
    
"
Snake Fist Fighter,https://www.imdb.com/title/tt0068000/,5.3,1667,80.0,"['Action', 'Comedy', 'Drama']",R,,IMDB,Snake Fist Fighter (1973) ,"
Country:
Hong Kong
","
Language:
Mandarin
|
Cantonese
","
Release Date: 1973 (Hong Kong)
    
See more »
    
"
Female Prisoner Scorpion: #701's Grudge Song,https://www.imdb.com/title/tt0226873/,6.4,1013,89.0,"['Crime', 'Drama', 'Thriller']",Not Rated,,IMDB,Female Prisoner Scorpion: #701's Grudge Song (1973) ,"
Country:
Japan
","
Language:
Japanese
","
Release Date: 29 December 1973 (Japan)
    
See more »
    
"
Holiday on the Buses,https://www.imdb.com/title/tt0071613/,5.8,1504,85.0,['Comedy'],,,IMDB,Holiday on the Buses (1973) ,"
Country:
UK
","
Language:
English
","
Release Date: 26 December 1973 (UK)
    
See more »
    
"
The Exorcist,https://www.imdb.com/title/tt0070047/,8.0,353069,122.0,['Horror'],R,81.0,IMDB,The Exorcist (1973) ,"
Country:
USA
","
Language:
English
|
Latin
|
Greek
|
French
|
German
|
Arabic
|
Kurdish
","
Release Date: 26 December 1973 (USA)
    
See more »
    
"
The Sting,https://www.imdb.com/title/tt0070735/,8.3,235448,129.0,"['Comedy', 'Crime', 'Drama']",PG,83.0,IMDB,The Sting (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1973 (USA)
    
See more »
    
"
Anita: Swedish Nymphet,https://www.imdb.com/title/tt0069718/,5.1,1410,95.0,['Drama'],,,IMDB,Anita: Swedish Nymphet (1973) ,"
Country:
Sweden
|
France
","
Language:
Swedish
","
Release Date: 25 December 1973 (Sweden)
    
See more »
    
"
Hell Up in Harlem,https://www.imdb.com/title/tt0070169/,6.1,1246,94.0,"['Action', 'Crime', 'Drama']",R,,IMDB,Hell Up in Harlem (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: December 1973 (USA)
    
See more »
    
"
The Golden Voyage of Sinbad,https://www.imdb.com/title/tt0071569/,6.8,8017,105.0,"['Action', 'Adventure', 'Fantasy']",G,69.0,IMDB,The Golden Voyage of Sinbad (1973) ,"
Country:
UK
|
USA
","
Language:
English
|
Arabic
","
Release Date: 25 January 1974 (UK)
    
See more »
    
"
The Laughing Policeman,https://www.imdb.com/title/tt0070292/,6.4,2359,112.0,"['Crime', 'Drama', 'Thriller']",R,,IMDB,The Laughing Policeman (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 January 1974 (Sweden)
    
See more »
    
"
The Day of the Dolphin,https://www.imdb.com/title/tt0069946/,6.1,2620,104.0,"['Drama', 'Sci-Fi', 'Thriller']",PG,,IMDB,The Day of the Dolphin (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 March 1974 (France)
    
See more »
    
"
Amarcord,https://www.imdb.com/title/tt0071129/,7.9,38671,123.0,"['Comedy', 'Drama']",R,,IMDB,Amarcord (1973) ,"
Country:
Italy
|
France
","
Language:
Italian
|
Greek, Ancient (to 1453)
","
Release Date: 19 September 1974 (USA)
    
See more »
    
"
Cinderella Liberty,https://www.imdb.com/title/tt0069883/,6.8,1850,117.0,"['Drama', 'Romance']",R,,IMDB,Cinderella Liberty (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 April 1974 (Sweden)
    
See more »
    
"
Sleeper,https://www.imdb.com/title/tt0070707/,7.2,39161,89.0,"['Comedy', 'Sci-Fi']",PG,77.0,IMDB,Sleeper (1973) ,"
Country:
USA
","
Language:
English
|
Yiddish
","
Release Date: 17 December 1973 (USA)
    
See more »
    
"
Papillon,https://www.imdb.com/title/tt0070511/,8.0,118896,151.0,"['Biography', 'Crime', 'Drama']",R,58.0,IMDB,Papillon (1973) ,"
Country:
France
|
USA
","
Language:
English
|
Spanish
","
Release Date: 19 December 1973 (USA)
    
See more »
    
"
The Seven-Ups,https://www.imdb.com/title/tt0070672/,6.9,4616,103.0,"['Action', 'Crime', 'Drama']",PG,,IMDB,The Seven-Ups (1973) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 14 December 1973 (USA)
    
See more »
    
"
Mais oÃ¹ est donc passÃ©e la 7Ã¨me compagnie,https://www.imdb.com/title/tt0070356/,6.9,1789,95.0,"['War', 'Action', 'Comedy']",,,IMDB,Mais où est donc passée la 7ème compagnie (1973) ,"
Country:
France
|
Italy
","
Language:
French
|
German
","
Release Date: 13 December 1973 (France)
    
See more »
    
"
Magnum Force,https://www.imdb.com/title/tt0070355/,7.2,54596,124.0,"['Action', 'Crime', 'Mystery']",R,58.0,IMDB,Magnum Force (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 25 December 1973 (USA)
    
See more »
    
"
My Name Is Nobody,https://www.imdb.com/title/tt0070215/,7.5,22657,116.0,"['Comedy', 'Western']",PG,68.0,IMDB,My Name Is Nobody (1973) ,"
Country:
Italy
|
France
|
West Germany
","
Language:
Italian
|
English
","
Release Date: 17 July 1974 (USA)
    
See more »
    
"
The Last Detail,https://www.imdb.com/title/tt0070290/,7.5,21470,104.0,"['Comedy', 'Drama']",R,89.0,IMDB,The Last Detail (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 February 1974 (USA)
    
See more »
    
"
The Three Musketeers,https://www.imdb.com/title/tt0072281/,7.2,15082,106.0,"['Action', 'Adventure']",PG,,IMDB,The Three Musketeers (1973) ,"
Country:
USA
|
Spain
|
Panama
|
UK
","
Language:
English
","
Release Date: 29 March 1974 (USA)
    
See more »
    
"
The Wicker Man,https://www.imdb.com/title/tt0070917/,7.5,66995,88.0,"['Horror', 'Mystery', 'Thriller']",R,87.0,IMDB,The Wicker Man (1973) ,"
Country:
UK
","
Language:
English
","
Release Date: 7 August 1974 (USA)
    
See more »
    
"
Serpico,https://www.imdb.com/title/tt0070666/,7.7,106017,130.0,"['Biography', 'Crime', 'Drama']",R,87.0,IMDB,Serpico (1973) ,"
Country:
Italy
|
USA
","
Language:
English
|
Italian
|
Spanish
","
Release Date: 5 December 1973 (USA)
    
See more »
    
"
Lady Snowblood,https://www.imdb.com/title/tt0158714/,7.7,11823,97.0,"['Action', 'Drama', 'Thriller']",Not Rated,80.0,IMDB,Lady Snowblood (1973) ,"
Country:
Japan
","
Language:
Japanese
|
English
","
Release Date: 22 March 1974 (USA)
    
See more »
    
"
Savulun Battal Gazi geliyor,https://www.imdb.com/title/tt0282140/,6.3,1212,85.0,"['Action', 'Adventure', 'History']",,,IMDB,Savulun Battal Gazi geliyor (1973) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: November 1973 (Turkey)
    
See more »
    
"
Flesh for Frankenstein,https://www.imdb.com/title/tt0071508/,5.9,5270,95.0,"['Horror', 'Sci-Fi']",R,,IMDB,Flesh for Frankenstein (1973) ,"
Country:
USA
|
Italy
|
France
","
Language:
English
|
French
","
Release Date: 17 March 1974 (USA)
    
See more »
    
"
Immoral Tales,https://www.imdb.com/title/tt0071359/,5.6,3882,103.0,"['Drama', 'Romance']",Not Rated,,IMDB,Immoral Tales (1973) ,"
Country:
France
","
Language:
French
|
Italian
|
Hungarian
","
Release Date: 28 August 1974 (France)
    
See more »
    
"
Traitor,https://www.imdb.com/title/tt0070434/,7.3,1450,146.0,['Drama'],Not Rated,,IMDB,Traitor (1973) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 23 November 1973 (India)
    
See more »
    
"
The Man from Acapulco,https://www.imdb.com/title/tt0070354/,7.3,4366,95.0,"['Action', 'Comedy', 'Fantasy']",,,IMDB,The Man from Acapulco (1973) ,"
Country:
France
|
Italy
","
Language:
French
|
English
|
Albanian
","
Release Date: 23 November 1973 (France)
    
See more »
    
"
Breezy,https://www.imdb.com/title/tt0069822/,7.0,4176,106.0,"['Drama', 'Romance']",R,68.0,IMDB,Breezy (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 22 February 1974 (Canada)
    
See more »
    
"
La nuit des Ã©toiles filantes,https://www.imdb.com/title/tt0066914/,4.9,2088,92.0,['Horror'],Not Rated,,IMDB,La nuit des étoiles filantes (1973) ,"
Country:
Belgium
|
France
|
Italy
|
Liechtenstein
","
Language:
French
","
Release Date: 26 October 1978 (Italy)
    
See more »
    
"
The Don Is Dead,https://www.imdb.com/title/tt0069989/,6.1,1010,115.0,"['Action', 'Crime', 'Drama']",Passed,,IMDB,The Don Is Dead (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 14 November 1973 (USA)
    
See more »
    
"
Carry on Girls,https://www.imdb.com/title/tt0069848/,5.7,2456,88.0,"['Comedy', 'Romance']",Not Rated,,IMDB,Carry on Girls (1973) ,"
Country:
UK
","
Language:
English
","
Release Date: 9 November 1973 (UK)
    
See more »
    
"
Robin Hood,https://www.imdb.com/title/tt0070608/,7.6,112290,83.0,"['Animation', 'Adventure', 'Comedy']",G,57.0,IMDB,Robin Hood (1973) ,"
Country:
USA
","
Language:
English
|
Portuguese
","
Release Date: 8 November 1973 (USA)
    
See more »
    
"
Executive Action,https://www.imdb.com/title/tt0070046/,6.7,2433,91.0,"['Crime', 'Drama', 'History']",PG,,IMDB,Executive Action (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 7 November 1973 (USA)
    
See more »
    
"
The Satanic Rites of Dracula,https://www.imdb.com/title/tt0070634/,5.6,5120,87.0,['Horror'],,,IMDB,The Satanic Rites of Dracula (1973) ,"
Country:
UK
","
Language:
English
|
Latin
","
Release Date: October 1978 (USA)
    
See more »
    
"
Yaadon Ki Baaraat,https://www.imdb.com/title/tt0070935/,7.4,1835,164.0,"['Action', 'Drama', 'Musical']",,,IMDB,Yaadon Ki Baaraat (1973) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 2 November 1973 (India)
    
See more »
    
"
Three Wishes for Cinderella,https://www.imdb.com/title/tt0070832/,7.8,8053,75.0,"['Drama', 'Fantasy', 'Family']",,,IMDB,Three Wishes for Cinderella (1973) ,"
Country:
Czechoslovakia
|
East Germany
","
Language:
German
|
Czech
","
Release Date: 16 November 1973 (Czechoslovakia)
    
See more »
    
"
Tarkan: GÃ¼Ã§lÃ¼ Kahraman,https://www.imdb.com/title/tt0274935/,6.6,1116,82.0,"['Action', 'Adventure', 'History']",,,IMDB,Tarkan: Güçlü Kahraman (1973) ,"
Country:
Turkey
","
Language:
Turkish
","
Release Date: October 1973 (Turkey)
    
See more »
    
"
Le train,https://www.imdb.com/title/tt0070826/,6.9,1086,95.0,"['Drama', 'Romance', 'War']",PG,,IMDB,Le train (1973) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: 31 October 1973 (France)
    
See more »
    
"
Tales That Witness Madness,https://www.imdb.com/title/tt0070770/,5.7,1405,90.0,['Horror'],R,,IMDB,Tales That Witness Madness (1973) ,"
Country:
UK
","
Language:
English
","
Release Date: 31 October 1973 (USA)
    
See more »
    
"
The Iceman Cometh,https://www.imdb.com/title/tt0070212/,7.2,1377,239.0,['Drama'],PG,,IMDB,The Iceman Cometh (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 29 October 1973 (USA)
    
See more »
    
"
The Knock Out Cop,https://www.imdb.com/title/tt0070534/,6.8,3325,99.0,"['Action', 'Comedy', 'Crime']",PG,,IMDB,The Knock Out Cop (1973) ,"
Country:
Italy
|
France
","
Language:
Italian
|
English
","
Release Date: April 1975 (USA)
    
See more »
    
"
Two Men in Town,https://www.imdb.com/title/tt0069967/,7.4,3742,100.0,"['Crime', 'Drama']",Not Rated,,IMDB,Two Men in Town (1973) ,"
Country:
France
|
Italy
","
Language:
French
","
Release Date: August 1976 (USA)
    
See more »
    
"
Jonathan Livingston Seagull,https://www.imdb.com/title/tt0070248/,6.1,1801,120.0,"['Drama', 'Family']",G,,IMDB,Jonathan Livingston Seagull (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 23 October 1973 (USA)
    
See more »
    
"
The Outfit,https://www.imdb.com/title/tt0071960/,7.0,3040,103.0,"['Crime', 'Drama', 'Thriller']",PG,,IMDB,The Outfit (1973) ,"
Country:
USA
","
Language:
English
","
Release Date: 9 February 1974 (Japan)
    
See more »
    
"
Lucky Luciano,https://www.imdb.com/title/tt0071782/,6.4,1118,105.0,"['Biography', 'Crime', 'Drama']",R,,IMDB,Lucky Luciano (1973) ,"
Country:
USA
|
France
|
Italy
","
Language:
English
|
Italian
","
Release Date: November 1974 (USA)
    
See more »
    
"
Les aventures de Rabbi Jacob,https://www.imdb.com/title/tt0069747/,7.4,11674,95.0,"['Adventure', 'Comedy', 'Crime']",G,,IMDB,Les aventures de Rabbi Jacob (1973) ,"
Country:
France
|
Italy
","
Language:
French
|
English
|
Hebrew
|
Yiddish
|
Arabic
","
Release Date: 18 October 1973 (France)
    
See more »
    
"
The Way We Were,https://www.imdb.com/title/tt0070903/,7.1,21702,118.0,"['Drama', 'Romance']",PG,61.0,IMDB,The Way We Were (1973) ,"
Country:
USA
","
Language:
English
|
French
","
Release Date: 19 October 1973 (USA)
    
See more »
    
"
The Paper Chase,https://www.imdb.com/title/tt0070509/,7.2,6974,113.0,"['Comedy', 'Drama']",PG,65.0,IMDB,The Paper Chase (1973) ,"
Country:
USA
","
Language:
English
|
Latin
","
Release Date: 16 October 1973 (USA)
    
See more »
    
"
Badlands,https://www.imdb.com/title/tt0069762/,7.8,63605,94.0,"['Action', 'Crime', 'Drama']",PG,93.0,IMDB,Badlands (1973) ,"
Country:
USA
","
Language:
English
|
Spanish
","
Release Date: 5 January 1974 (Brazil)
    
See more »
    
"
Don't Look Now,https://www.imdb.com/title/tt0069995/,7.2,47539,110.0,"['Drama', 'Horror', 'Thriller']",R,,IMDB,Don't Look Now (1973) ,"
Country:
UK
|
Italy
","
Language:
English
|
Italian
","
Release Date: January 1974 (USA)
    
See more »
    
"
Emil och griseknoen,https://www.imdb.com/title/tt0072931/,7.2,2436,97.0,"['Comedy', 'Family']",,,IMDB,Emil och griseknoen (1973) ,"
Country:
Sweden
|
West Germany
","
Language:
Swedish
|
German
","
Release Date: 6 October 1973 (Sweden)
    
See more »
    
"
Olsen-banden gÃ¥r amok,https://www.imdb.com/title/tt0070474/,7.0,1573,100.0,"['Comedy', 'Crime', 'Family']",Not Rated,,IMDB,Olsen-banden går amok (1973) ,"
Country:
Denmark
","
Language:
Danish
","
Release Date: 5 October 1973 (Denmark)
    
See more »
    
"
Massacre in Rome,https://www.imdb.com/title/tt0070592/,6.5,1064,110.0,"['Drama', 'History', 'War']",PG,,IMDB,Massacre in Rome (1973) ,"
Country:
Italy
|
France
","
Language:
Italian
|
English
","
Release Date: 24 October 1973 (USA)
    
See more »
    
"
Mean Streets,https://www.imdb.com/title/tt0070379/,7.3,96464,112.0,"['Crime', 'Drama', 'Thriller']",R,96.0,IMDB,Mean Streets (1973) ,"
Country:
USA
","
Language:
English
|
Italian
","
Release Date: 14 October 1973 (USA)
    
See more »
    
"
Iluminacja,https://www.imdb.com/title/tt0070217/,7.2,1286,91.0,['Drama'],,,IMDB,Iluminacja (1973) ,"
Country:
Poland
","
Language:
Polish
","
Release Date: December 1978 (USA)
    
See more »
    
"
Bobby,https://www.imdb.com/title/tt0069810/,7.1,1655,168.0,"['Comedy', 'Musical', 'Romance']",,,IMDB,Bobby (1973) ,"
Country:
India
","
Language:
Hindi
","
Release Date: 28 September 1973 (India)
    
See more »
    
"
Revolver,https://www.imdb.com/title/tt0073626/,7.1,1606,111.0,"['Crime', 'Drama', 'Thriller']",R,,IMDB,Revolver (1973) ,"
Country:
Italy
|
France
|
West Germany
","
Language:
Italian
","
Release Date: November 1975 (USA)
    
See more »
    
"
