,Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date
86,Bala,https://www.imdb.com/title/tt9420648/,7.4,10120,133.0,['Comedy'],Not Rated,,IMDB,['India'],['Hindi'],2019-11-07
87,Playing with Fire,https://www.imdb.com/title/tt9134216/,4.9,8347,96.0,"['Comedy', 'Family']",PG,2.4,IMDB,['USA'],['English'],2019-11-08
88,Last Christmas,https://www.imdb.com/title/tt8623904/,6.5,36165,103.0,"['Comedy', 'Drama', 'Romance']",PG-13,5.0,IMDB,"['UK', 'USA']","['English', 'Serbo-Croatian', 'Mandarin', 'French']",2019-11-08
89,Recep Ivedik 6,https://www.imdb.com/title/tt7399138/,2.8,4456,110.0,['Comedy'],,,IMDB,['Turkey'],['Turkish'],2019-11-08
90,Frozen II,https://www.imdb.com/title/tt4520988/,6.9,118275,103.0,"['Animation', 'Adventure', 'Comedy']",PG,6.4,IMDB,['USA'],['English'],2019-11-22
91,Primal,https://www.imdb.com/title/tt7394816/,4.9,3815,97.0,"['Action', 'Thriller']",R,3.2,IMDB,['USA'],['English'],2019-11-08
92,Holiday in the Wild,https://www.imdb.com/title/tt8510488/,6.1,9935,85.0,"['Comedy', 'Drama', 'Romance']",TV-PG,,IMDB,['USA'],['English'],2019-11-01
93,Drive,https://www.imdb.com/title/tt6593054/,2.8,3804,147.0,"['Action', 'Crime', 'Thriller']",Not Rated,,IMDB,['India'],['Hindi'],2019-11-01
94,Arctic Dogs,https://www.imdb.com/title/tt4426464/,4.6,1141,92.0,"['Animation', 'Adventure', 'Comedy']",PG,2.8,IMDB,"['India', 'UK', 'China', 'Canada', 'Japan', 'South Korea', 'USA']","['English', 'Korean']",2019-11-01
95,Ujda Chaman,https://www.imdb.com/title/tt11046300/,6.9,4448,120.0,['Comedy'],Not Rated,,IMDB,['India'],['Hindi'],2019-11-01
96,Badland,https://www.imdb.com/title/tt10253466/,5.8,1885,117.0,['Western'],TV-14,4.6,IMDB,['USA'],['English'],2019-11-01
97,Drakulics elvtÃÂ¡rs,https://www.imdb.com/title/tt7759362/,6.7,1309,95.0,"['Comedy', 'Fantasy', 'Mystery']",,,IMDB,['Hungary'],"['Hungarian', 'Vietnamese', 'Russian']",2019-10-31
98,L'uomo del labirinto,https://www.imdb.com/title/tt8594376/,5.5,1075,130.0,"['Horror', 'Mystery', 'Thriller']",,,IMDB,['Italy'],['Italian'],2019-10-30
99,Doctor Sleep,https://www.imdb.com/title/tt5606664/,7.4,113464,152.0,"['Drama', 'Fantasy', 'Horror']",R,5.9,IMDB,"['USA', 'Canada']",['English'],2019-11-08
100,The Nomads,https://www.imdb.com/title/tt8910924/,8.2,1107,97.0,"['Drama', 'Sport']",TV-14,,IMDB,['USA'],['English'],2019-10-27
101,Cinayet SÃÂ¼sÃÂ¼,https://www.imdb.com/title/tt9675274/,6.7,10343,112.0,"['Comedy', 'Crime']",,,IMDB,['Turkey'],['Turkish'],2019-10-25
102,Better Days,https://www.imdb.com/title/tt9586294/,7.5,2156,135.0,"['Crime', 'Drama', 'Family']",,8.3,IMDB,['China'],"['Mandarin', 'English']",2019-10-25
103,Made in China,https://www.imdb.com/title/tt8983180/,6.2,3112,128.0,"['Comedy', 'Drama']",,,IMDB,['India'],['Hindi'],2019-10-25
104,Twin Murders: The Silence of the White City,https://www.imdb.com/title/tt8393332/,5.2,3239,110.0,"['Action', 'Adventure', 'Crime']",,,IMDB,['Spain'],['Spanish'],2020-03-06
105,Housefull 4,https://www.imdb.com/title/tt7721946/,3.4,8634,145.0,"['Action', 'Comedy', 'Fantasy']",Not Rated,,IMDB,['India'],['Hindi'],2019-10-25
106,Funhouse,https://www.imdb.com/title/tt6852534/,6.6,3057,106.0,['Horror'],,,IMDB,"['Sweden', 'Canada']",['English'],2020-09-25
107,A Night of Horror: Nightmare Radio,https://www.imdb.com/title/tt10756374/,5.1,1046,100.0,['Horror'],,,IMDB,"['Argentina', 'New Zealand', 'UK']",['English'],2019-10-25
108,Kaithi,https://www.imdb.com/title/tt9900782/,8.5,7825,145.0,"['Action', 'Thriller']",Not Rated,,IMDB,['India'],['Tamil'],2019-10-24
109,Bigil,https://www.imdb.com/title/tt9260636/,6.8,9379,179.0,"['Action', 'Drama', 'Sport']",Not Rated,,IMDB,['India'],"['Tamil', 'Telugu']",2019-10-24
110,Rattlesnake,https://www.imdb.com/title/tt9257484/,4.6,6767,85.0,"['Drama', 'Horror', 'Mystery']",,,IMDB,['USA'],['English'],2019-10-25
111,Midway,https://www.imdb.com/title/tt6924650/,6.7,52599,138.0,"['Action', 'Adventure', 'Drama']",PG-13,4.7,IMDB,"['China', 'Hong Kong', 'Canada', 'USA']","['English', 'Japanese', 'Mandarin']",2019-11-08
112,Countdown,https://www.imdb.com/title/tt10039344/,5.4,19434,90.0,"['Horror', 'Thriller']",PG-13,3.1,IMDB,['USA'],"['English', 'Latin']",2019-10-25
113,Torpedo,https://www.imdb.com/title/tt8829128/,6.0,1054,102.0,"['Action', 'Adventure', 'History']",,,IMDB,['Belgium'],"['Dutch', 'English', 'German']",2020-05-19
