Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Title (w/ year),Country,Language,Release_Date
The Willoughbys,https://www.imdb.com/title/tt5206260/,6.4,10540,90.0,"['Animation', 'Adventure', 'Comedy']",PG,68.0,IMDB,The Willoughbys (2020) ,"
Country:
Canada
|
USA
|
UK
","
Language:
English
","
Release Date: 22 April 2020 (USA)
    
See more »
    
"
Nathan's Kingdom,https://www.imdb.com/title/tt3274690/,7.0,1599,93.0,"['Adventure', 'Drama', 'Sci-Fi']",,,IMDB,Nathan's Kingdom (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 21 April 2020 (USA)
    
See more »
    
"
Rising High,https://www.imdb.com/title/tt9806336/,5.7,3298,94.0,"['Comedy', 'Drama']",,40.0,IMDB,Rising High (2020) ,"
Country:
Germany
","
Language:
German
|
English
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
Bad Trip,https://www.imdb.com/title/tt9684220/,6.5,1900,84.0,['Comedy'],R,,IMDB,Bad Trip (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
The Quarry,https://www.imdb.com/title/tt10151054/,5.2,1326,98.0,"['Crime', 'Mystery', 'Thriller']",R,53.0,IMDB,The Quarry (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 June 2020 (Poland)
    
See more »
    
"
Earth and Blood,https://www.imdb.com/title/tt10092752/,4.9,1797,80.0,"['Action', 'Thriller']",,,IMDB,Earth and Blood (2020) ,"
Country:
France
|
Belgium
","
Language:
French
","
Release Date: 17 April 2020 (USA)
    
See more »
    
"
Sputnik,https://www.imdb.com/title/tt11905962/,6.0,1231,113.0,"['Horror', 'Sci-Fi']",,,IMDB,Sputnik (2020) ,"
Country:
Russia
","
Language:
Russian
","
Release Date: 24 July 2020 (Estonia)
    
See more »
    
"
Nobody Knows I'm Here,https://www.imdb.com/title/tt10728764/,6.5,2197,91.0,"['Drama', 'Music']",,64.0,IMDB,Nobody Knows I'm Here (2020) ,"
Country:
Chile
","
Language:
Spanish
|
English
","
Release Date: 24 June 2020 (USA)
    
See more »
    
"
Light from the Tower,https://www.imdb.com/title/tt10264340/,5.9,1058,77.0,"['Comedy', 'Drama', 'Mystery']",,,IMDB,Light from the Tower (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 15 April 2020 (USA)
    
See more »
    
"
Mortal Kombat Legends: Scorpion's Revenge,https://www.imdb.com/title/tt9580138/,7.5,8713,80.0,"['Animation', 'Action', 'Adventure']",R,,IMDB,Mortal Kombat Legends: Scorpion's Revenge (2020) ,"
Country:
USA
","
Language:
English
","
Release Date: 12 April 2020 (USA)
    
See more »
    
"
