Title,URL,IMDB_Rating,Number_of_votes,Runtime,Genre,MPAA/TV_Rating,Metascore (*),Source,Country,Language,Release_Date,Month,Year,Decade,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
Yuli,https://www.imdb.com/title/tt7666250/,7.0,1381,115.0,"['Biography', 'Drama', 'Music']",Not Rated,,IMDB,"['Spain', 'Cuba', 'UK', 'Germany']","['Spanish', 'English']",2018-12-14,12.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Brian Banks,https://www.imdb.com/title/tt3920820/,7.2,3574,99.0,"['Biography', 'Drama', 'Sport']",PG-13,5.8,IMDB,['USA'],['English'],2019-08-09,8.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Unbroken: Path to Redemption,https://www.imdb.com/title/tt7339792/,5.8,2230,98.0,"['Biography', 'Drama', 'History']",PG-13,3.9,IMDB,['USA'],"['English', 'Italian']",2018-09-14,9.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Bigger,https://www.imdb.com/title/tt3226786/,6.4,1953,107.0,"['Biography', 'Drama']",PG-13,3.7,IMDB,['USA'],['English'],2018-10-12,10.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Loro,https://www.imdb.com/title/tt10182822/,6.7,3509,151.0,"['Biography', 'Drama']",Unrated,5.6,IMDB,['Italy'],['Italian'],2019-09-13,9.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Green Book,https://www.imdb.com/title/tt6966692/,8.2,334578,130.0,"['Biography', 'Comedy', 'Drama']",PG-13,6.9,IMDB,"['USA', 'China']","['English', 'Italian', 'Russian', 'German']",2018-11-16,11.0,2018.0,2010.0,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Vita & Virginia,https://www.imdb.com/title/tt5859882/,5.7,2035,110.0,"['Biography', 'Drama', 'Romance']",Unrated,4.3,IMDB,"['Ireland', 'UK']",['English'],2019-08-23,8.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Jeremiah Terminator LeRoy,https://www.imdb.com/title/tt5460522/,5.3,1581,108.0,"['Biography', 'Drama']",R,5.5,IMDB,"['UK', 'Canada', 'USA']","['English', 'French']",2019-08-12,8.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Skin,https://www.imdb.com/title/tt6043142/,7.0,12026,118.0,"['Biography', 'Crime', 'Drama']",R,5.8,IMDB,"['USA', 'Canada', 'Brazil', 'China']",['English'],2019-07-26,7.0,2019.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Driven,https://www.imdb.com/title/tt5592796/,6.3,4389,113.0,"['Biography', 'Drama', 'Thriller']",R,5.5,IMDB,"['Puerto Rico', 'UK', 'USA']",['English'],2019-08-16,8.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Red Joan,https://www.imdb.com/title/tt7615302/,6.3,8398,101.0,"['Biography', 'Drama', 'History']",R,4.5,IMDB,['UK'],['English'],2019-04-19,4.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
A Private War,https://www.imdb.com/title/tt2368254/,6.7,15102,110.0,"['Biography', 'Drama', 'War']",R,7.5,IMDB,"['UK', 'USA']",['English'],2018-11-16,11.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Beautiful Boy,https://www.imdb.com/title/tt1226837/,7.3,47229,120.0,"['Biography', 'Drama']",R,6.2,IMDB,['USA'],['English'],2018-10-25,10.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Outlaw King,https://www.imdb.com/title/tt6679794/,6.9,55894,121.0,"['Action', 'Biography', 'Drama']",R,5.9,IMDB,"['UK', 'USA']","['English', 'French', 'Scottish Gaelic']",2018-11-09,11.0,2018.0,2010.0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Never Look Away,https://www.imdb.com/title/tt5311542/,7.7,13080,189.0,"['Biography', 'Drama', 'Romance']",R,6.8,IMDB,"['Germany', 'Italy']","['German', 'Russian']",2018-10-03,10.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
At Eternity's Gate,https://www.imdb.com/title/tt6938828/,6.9,25713,111.0,"['Biography', 'Drama']",PG-13,7.6,IMDB,"['Ireland', 'Switzerland', 'UK', 'France', 'USA']","['English', 'French']",2019-02-15,2.0,2019.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Charlie Says,https://www.imdb.com/title/tt1759744/,5.8,2546,110.0,"['Biography', 'Crime', 'Drama']",R,5.7,IMDB,['USA'],['English'],2019-05-17,5.0,2019.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Boy Erased,https://www.imdb.com/title/tt7008872/,6.9,28615,115.0,"['Biography', 'Drama']",R,6.9,IMDB,"['Australia', 'USA']",['English'],2018-11-08,11.0,2018.0,2010.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
A Twelve-Year Night,https://www.imdb.com/title/tt6792282/,7.6,7588,122.0,"['Biography', 'Crime', 'Drama']",,,IMDB,"['Uruguay', 'Spain', 'Argentina', 'France', 'Germany']",['Spanish'],2018-12-28,12.0,2018.0,2010.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Can You Ever Forgive Me?,https://www.imdb.com/title/tt4595882/,7.1,43966,106.0,"['Biography', 'Comedy', 'Crime']",R,8.7,IMDB,['USA'],['English'],2018-11-02,11.0,2018.0,2010.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
