Movie_Rank,Movie_Title,Movie_Rating,Genre,Rated,Runtime,Release Date
20,Se7en,0.8591938438039654,"Crime, Drama, Mystery",R,2h 7min,22 September 1995 (USA)
21,Life Is Beautiful,0.8582857521214879,"Comedy, Drama, Romance",PG-13,1h 56min,12 February 1999 (USA)
22,City of God,0.8581025307629355,"Crime, Drama",R,2h 10min,13 February 2004 (USA)
23,The Silence of the Lambs,0.8574864178069721,"Crime, Drama, Thriller",R,1h 58min,14 February 1991 (USA)
24,It's a Wonderful Life,0.857130342201083,"Drama, Family, Fantasy",Passed,2h 10min,7 January 1947 (USA)
25,Star Wars: Episode IV - A New Hope,0.8558198748854734,"Action, Adventure, Fantasy",PG,2h 1min,25 May 1977 (USA)
26,Saving Private Ryan,0.8548375123849554,"Drama, War",R,2h 49min,24 July 1998 (USA)
27,Spirited Away,0.8541459872503218,"Animation, Adventure, Family",PG,2h 5min,28 March 2003 (USA)
28,Parasite,0.8538066926227389,"Comedy, Drama, Thriller",R,2h 12min,8 November 2019 (USA)
29,The Green Mile,0.8536042390645779,"Crime, Drama, Fantasy",R,3h 9min,10 December 1999 (USA)
30,Interstellar,0.852853241922565,"Adventure, Drama, Sci-Fi",PG-13,2h 49min,7 November 2014 (USA)
31,Léon: The Professional,0.8512672982250903,"Action, Crime, Drama",R,1h 50min,18 November 1994 (USA)
32,The Usual Suspects,0.8503340197269775,"Crime, Mystery, Thriller",R,1h 46min,16 August 1995 (USA)
33,Harakiri,0.849783250683443,"Action, Drama, History",Not Rated,2h 13min,4 August 1964 (USA)
34,The Lion King,0.8491678039378889,"Animation, Adventure, Drama",G,1h 28min,24 June 1994 (USA)
35,Back to the Future,0.8485865728434167,"Adventure, Comedy, Sci-Fi",PG,1h 56min,3 July 1985 (USA)
36,The Pianist,0.848549466901059,"Biography, Drama, Music",R,2h 30min,28 March 2003 (USA)
37,Terminator 2: Judgment Day,0.8485138964422172,"Action, Sci-Fi",R,2h 17min,3 July 1991 (USA)
38,American History X,0.8484579304353588,Drama,R,1h 59min,20 November 1998 (USA)
39,Modern Times,0.8482986548151871,"Comedy, Drama, Family",G,1h 27min,25 February 1936 (USA)
40,Psycho,0.847689101212574,"Horror, Mystery, Thriller",R,1h 49min,8 September 1960 (USA)
41,Gladiator,0.8475994108467502,"Action, Adventure, Drama",R,2h 35min,5 May 2000 (USA)
42,City Lights,0.847367136503556,"Comedy, Drama, Romance",G,1h 27min,7 March 1931 (USA)
43,The Departed,0.8471318160129743,"Crime, Drama, Thriller",R,2h 31min,6 October 2006 (USA)
44,The Intouchables,0.8469901142289349,"Biography, Comedy, Drama",R,1h 52min,2 November 2011 (France)
45,Whiplash,0.8468015205126991,"Drama, Music",R,1h 46min,15 October 2014 (Philippines)
46,The Prestige,0.8458687326767395,"Drama, Mystery, Sci-Fi",PG-13,2h 10min,20 October 2006 (USA)
47,Once Upon a Time in the West,0.8452193663005007,Western,PG-13,2h 45min,4 July 1969 (USA)
48,Grave of the Fireflies,0.845126858828295,"Animation, Drama, War",Not Rated,1h 29min,26 July 1989 (USA)
49,Casablanca,0.8438489615476042,"Drama, Romance, War",PG,1h 42min,23 January 1943 (USA)
50,Cinema Paradiso,0.8429673617971541,Drama,R,2h 35min,23 February 1990 (USA)
51,Rear Window,0.842816753327068,"Mystery, Thriller",PG,1h 52min,September 1954 (USA)
52,Alien,0.8422196410142424,"Horror, Sci-Fi",R,1h 57min,22 June 1979 (USA)
53,Apocalypse Now,0.8420149811090832,"Drama, Mystery, War",R,2h 27min,15 August 1979 (USA)
54,Memento,0.8415677618380493,"Mystery, Thriller",R,1h 53min,25 May 2001 (USA)
