Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Source
Star Wars: The Clone Wars,39.0,"['Animation', 'Action', 'Adventure']",98.0,PG,2008-08-15,8,2008,2000,Animation,RT Audience
North Face,82.0,"['Adventure', 'Biography', 'Drama']",126.0,Not Rated,2008-10-23,10,2008,2000,Adventure,RT Audience
Pineapple Express,73.0,"['Action', 'Comedy', 'Crime']",111.0,R,2008-08-06,8,2008,2000,Action,RT Audience
Brideshead Revisited,52.0,"['Drama', 'Romance']",133.0,PG-13,2008-08-15,8,2008,2000,Drama,RT Audience
Ponyo,83.0,"['Animation', 'Adventure', 'Comedy']",101.0,G,2009-08-14,8,2009,2000,Animation,RT Audience
The Dark Knight,94.0,"['Action', 'Crime', 'Drama']",152.0,PG-13,2008-07-18,7,2008,2000,Action,RT Audience
Kisses,86.0,['Drama'],72.0,Not Rated,2008-11-21,11,2008,2000,Drama,RT Audience
Outlander,44.0,"['Action', 'Adventure', 'Sci_Fi']",115.0,R,2008-07-11,7,2008,2000,Action,RT Audience
Journey to the Center of the Earth,69.0,"['Action', 'Adventure', 'Family']",93.0,PG,2008-07-11,7,2008,2000,Action,RT Audience
Meet Dave,35.0,"['Adventure', 'Comedy', 'Family']",90.0,PG,2008-07-11,7,2008,2000,Adventure,RT Audience
Frygtelig lykkelig,73.0,"['Crime', 'Drama', 'Thriller']",99.0,Not Rated,2008-10-24,10,2008,2000,Crime,RT Audience
Red Cliff,78.0,"['Action', 'Adventure', 'Drama']",148.0,R,2009-12-04,12,2009,2000,Action,RT Audience
Kit Kittredge: An American Girl,69.0,"['Comedy', 'Drama', 'Family']",101.0,G,2008-07-02,7,2008,2000,Comedy,RT Audience
Get Smart,67.0,"['Action', 'Adventure', 'Comedy']",110.0,PG-13,2008-06-20,6,2008,2000,Action,RT Audience
Hancock,59.0,"['Action', 'Fantasy']",92.0,PG-13,2008-07-02,7,2008,2000,Action,RT Audience
The Square,70.0,"['Crime', 'Drama', 'Thriller']",105.0,R,2008-07-31,7,2008,2000,Crime,RT Audience
Jolene,43.0,['Drama'],121.0,R,2008-06-13,6,2008,2000,Drama,RT Audience
You Don't Mess with the Zohan,45.0,['Comedy'],113.0,PG-13,2008-06-06,6,2008,2000,Comedy,RT Audience
The Incredible Hulk,70.0,"['Action', 'Adventure', 'Sci_Fi']",112.0,PG-13,2008-06-13,6,2008,2000,Action,RT Audience
JCVD,74.0,"['Comedy', 'Crime', 'Drama']",97.0,R,2019-08-02,8,2019,2010,Comedy,RT Audience
Garden Party,25.0,['Drama'],88.0,Not Rated,2008-05-30,5,2008,2000,Drama,RT Audience
The Strangers,48.0,"['Horror', 'Thriller']",86.0,R,2008-05-30,5,2008,2000,Horror,RT Audience
The Class,82.0,['Drama'],128.0,PG-13,2009-03-13,3,2009,2000,Drama,RT Audience
Il divo,80.0,"['Biography', 'Drama']",110.0,Not Rated,2008-05-28,5,2008,2000,Biography,RT Audience
Tulpan,69.0,"['Comedy', 'Drama']",100.0,Not Rated,2009-04-09,4,2009,2000,Comedy,RT Audience
"Synecdoche, New York",71.0,"['Comedy', 'Drama']",124.0,R,2009-02-05,2,2009,2000,Comedy,RT Audience
Wendy and Lucy,67.0,['Drama'],80.0,R,2009-03-06,3,2009,2000,Drama,RT Audience
Adoration,48.0,"['Drama', 'Romance']",100.0,R,2009-04-24,4,2009,2000,Drama,RT Audience
Che: Part Two,66.0,"['Biography', 'Drama', 'History']",135.0,Not Rated,2009-01-24,1,2009,2000,Biography,RT Audience
Our Beloved Month of August,63.0,"['Music', 'Romance']",147.0,Not Rated,2010-09-03,9,2010,2010,Music,RT Audience
Surveillance,43.0,"['Crime', 'Drama', 'Mystery']",97.0,R,2008-07-31,7,2008,2000,Crime,RT Audience
Johnny Mad Dog,65.0,"['Drama', 'War']",98.0,,2008-11-26,11,2008,2000,Drama,RT Audience
Swing Vote,41.0,"['Comedy', 'Drama']",120.0,PG-13,2008-08-01,8,2008,2000,Comedy,RT Audience
Changeling,79.0,"['Biography', 'Crime', 'Drama']",141.0,R,2008-10-31,10,2008,2000,Biography,RT Audience
Lorna's Silence,69.0,['Drama'],105.0,R,2008-08-27,8,2008,2000,Drama,RT Audience
Two Lovers,59.0,"['Drama', 'Romance']",110.0,R,2009-03-20,3,2009,2000,Drama,RT Audience
Serbis,51.0,"['Drama', 'Romance']",87.0,R,2008-06-25,6,2008,2000,Drama,RT Audience
Afterschool,48.0,"['Drama', 'Mystery']",120.0,Not Rated,2008-10-01,10,2008,2000,Drama,RT Audience
Indiana Jones and the Kingdom of the Crystal Skull,54.0,"['Action', 'Adventure']",122.0,PG-13,2008-05-22,5,2008,2000,Action,RT Audience
Tony Manero,60.0,"['Drama', 'Music']",97.0,,2008-08-28,8,2008,2000,Drama,RT Audience
Tokyo Sonata,80.0,['Drama'],120.0,PG-13,2008-09-27,9,2008,2000,Drama,RT Audience
Vicky Cristina Barcelona,74.0,"['Comedy', 'Drama', 'Romance']",96.0,PG-13,2008-08-15,8,2008,2000,Comedy,RT Audience
Three Monkeys,72.0,['Drama'],109.0,Not Rated,2008-09-12,9,2008,2000,Drama,RT Audience
Gomorrah,70.0,"['Crime', 'Drama']",137.0,Not Rated,2009-04-10,4,2009,2000,Crime,RT Audience
The Midnight Meat Train,50.0,"['Horror', 'Mystery', 'Thriller']",100.0,R,2008-10-31,10,2008,2000,Horror,RT Audience
Leonera,71.0,"['Crime', 'Drama']",113.0,Not Rated,2008-05-29,5,2008,2000,Crime,RT Audience
