Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Country,Source
Thr3e,51.0,"['Drama', 'Horror', 'Mystery']",101.0,PG-13,2007-01-05,1,2007,2000,Drama,Poland,RT Audience
Turistas,28.0,"['Horror', 'Mystery', 'Thriller']",93.0,R,2006-12-01,12,2006,2000,Horror,USA,RT Audience
Unaccompanied Minors,53.0,"['Adventure', 'Comedy', 'Family']",90.0,PG,2006-12-08,12,2006,2000,Adventure,USA,RT Audience
The Holiday,80.0,"['Comedy', 'Romance']",136.0,PG-13,2006-12-08,12,2006,2000,Comedy,USA,RT Audience
Arthur and the Invisibles,56.0,"['Animation', 'Adventure', 'Comedy']",94.0,PG,2007-01-12,1,2007,2000,Animation,France,RT Audience
Deck the Halls,30.0,"['Comedy', 'Family']",93.0,PG,2006-11-22,11,2006,2000,Comedy,USA,RT Audience
Deja Vu,73.0,"['Action', 'Crime', 'Sci_Fi']",126.0,PG-13,2006-11-22,11,2006,2000,Action,USA,RT Audience
Priceless,75.0,"['Comedy', 'Romance']",106.0,PG-13,2008-04-11,4,2008,2000,Comedy,France,RT Audience
Let's Go to Prison,48.0,"['Comedy', 'Crime']",84.0,R,2006-11-17,11,2006,2000,Comedy,USA,RT Audience
No Regret,77.0,"['Drama', 'Romance']",113.0,R,2006-11-16,11,2006,2000,Drama,South Korea,RT Audience
Happy Feet,70.0,"['Animation', 'Adventure', 'Comedy']",108.0,PG,2006-11-17,11,2006,2000,Animation,USA,RT Audience
Letters from Iwo Jima,86.0,"['Action', 'Adventure', 'Drama']",141.0,R,2007-02-02,2,2007,2000,Action,USA,RT Audience
Casino Royale,89.0,"['Action', 'Adventure', 'Thriller']",144.0,PG-13,2006-11-17,11,2006,2000,Action,UK,RT Audience
The Good German,33.0,"['Drama', 'Mystery', 'Romance']",105.0,R,2007-01-19,1,2007,2000,Drama,USA,RT Audience
The Return,93.0,"['Horror', 'Mystery', 'Thriller']",85.0,PG-13,2006-11-10,11,2006,2000,Horror,USA,RT Audience
Goya's Ghosts,57.0,"['Biography', 'Drama', 'History']",113.0,R,2006-11-10,11,2006,2000,Biography,USA,RT Audience
Sixty Six,66.0,"['Biography', 'Comedy', 'Drama']",93.0,PG-13,2006-11-03,11,2006,2000,Biography,France,RT Audience
Unknown,54.0,"['Crime', 'Drama', 'Mystery']",85.0,Not Rated,2006-11-03,11,2006,2000,Crime,USA,RT Audience
Tell No One,87.0,"['Crime', 'Drama', 'Mystery']",131.0,Not Rated,2006-11-01,11,2006,2000,Crime,France,RT Audience
