Title,Rating,Genre,Runtime,MPAA/TV_Rating,Release_Date,Month,Year,Decade,Primary_Genre,Source
Children of the Corn II: The Final Sacrifice,22.0,"['Horror', 'Thriller']",92.0,R,1993-01-29,1,1993,1990,Horror,RT Critics
Hellraiser III: Hell on Earth,41.0,['Horror'],97.0,R,1992-09-11,9,1992,1990,Horror,RT Critics
Man Bites Dog,74.0,"['Comedy', 'Crime', 'Drama']",95.0,,1993-01-15,1,1993,1990,Comedy,RT Critics
Sister Act,73.0,"['Comedy', 'Crime', 'Family']",100.0,PG,1992-05-29,5,1992,1990,Comedy,RT Critics
Encino Man,15.0,['Comedy'],88.0,PG,1992-05-22,5,1992,1990,Comedy,RT Critics
Alien 3,44.0,"['Action', 'Horror', 'Sci_Fi']",114.0,R,1992-05-22,5,1992,1990,Action,RT Critics
Far and Away,49.0,"['Adventure', 'Drama', 'Romance']",140.0,PG-13,1992-05-22,5,1992,1990,Adventure,RT Critics
Twin Peaks: Fire Walk with Me,64.0,"['Drama', 'Horror', 'Mystery']",134.0,R,1992-08-28,8,1992,1990,Drama,RT Critics
Bad Lieutenant,77.0,"['Crime', 'Drama', 'Thriller']",96.0,,1992-12-17,12,1992,1990,Crime,RT Critics
Benny's Video,64.0,"['Crime', 'Drama']",105.0,Not Rated,1993-02-11,2,1993,1990,Crime,RT Critics
Lethal Weapon 3,60.0,"['Action', 'Crime', 'Thriller']",118.0,R,1992-05-15,5,1992,1990,Action,RT Critics
Map of the Human Heart,77.0,"['Adventure', 'Drama', 'Romance']",109.0,R,1993-05-14,5,1993,1990,Adventure,RT Critics
Brain Donors,45.0,['Comedy'],80.0,PG,1992-04-17,4,1992,1990,Comedy,RT Critics
Sleepwalkers,25.0,"['Fantasy', 'Horror']",91.0,R,1992-04-10,4,1992,1990,Fantasy,RT Critics
FernGully: The Last Rainforest,63.0,"['Animation', 'Adventure', 'Family']",76.0,G,1992-04-10,4,1992,1990,Animation,RT Critics
Newsies,39.0,"['Drama', 'Family', 'History']",121.0,PG,1992-04-10,4,1992,1990,Drama,RT Critics
